Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
010261,AVENUE G STORE / COUNCIL BLUFFS,A,1602 AVENUE G,COUNCIL BLUFFS,IA,51501,POINT (-95.8678 41.26825),01/01/2025
010377,SUPERIOR MART / AVOCA,I,904 NORTH WALNUT STREET,AVOCA,IA,51521,POINT (-95.33604 41.48557),01/01/2025
3820,"CHARLIE'S WINE AND SPIRITS,",A,507 W 19TH ST,SIOUX CITY,IA,51103,POINT (-96.42021 42.51054),01/01/2025
4509,AJ'S LIQUOR II,A,2515 CHAMBERLAIN,AMES,IA,50010,POINT (-93.65084 42.02144),01/01/2025
5109,CASEY'S GENERAL STORE #3404 / CARLIS,A,1020 GATEWAY DR,CARLISLE,IA,50047,,01/01/2025
5403,GOLDEN MART,A,1026 W RIVER DRIVE,DAVENPORT,IA,52802,POINT (-90.58842 41.52015),01/01/2025
6157,OKOBOJI GAS COMPANY / MILFORD,A,2098 HWY 86,MILFORD,IA,51351,POINT (-95.17847 43.34422),01/01/2025
9042,"AMERICAN HERITAGE DISTILLERS, LLC (ET)",I,PO BOX 1317,SPENCER,IA,51301,,01/01/2025
5832,CASEY'S GENERAL STORE #1605 / HAMPTON,A,719 4TH ST NE,HAMPTON,IA,50441,POINT (-93.20247 42.74891),01/01/2025
2687,HY-VEE FAST & FRESH EXPRESS- BETTENDORF,A,3470 MIDDLE ROAD,BETTENDORF,IA,57222,POINT (-90.4847 41.55144),01/01/2025
4068,SA PETRO MART,I,136  1ST ST,WEST DES MOINES,IA,50265,POINT (-93.70375 41.57074),01/01/2025
010088,OREGON SPIRIT DISTILLERS / SAMPLE,I,740 NE 1ST ST,BEND,OR,97701,POINT (-121.30586 44.05767),01/01/2025
5868,BROTHERS MARKET / BLOOMFIELD,A,207 E LOCUST ST,BLOOMFIELD,IA,52537,POINT (-92.41284 40.75269),01/01/2025
4759,WALGREENS #10855 / WATERLOO,A,1850 LOGAN AVE,WATERLOO,IA,50703,POINT (-92.33758 42.52712),01/01/2025
5285,CROSSROADS OF HUMBOLDT,I,411 13TH STREET,HUMBOLDT,IA,50548,POINT (-94.22683 42.72619),01/01/2025
4362,KUM & GO #135 / POLK CITY,A,303 W BROADWAY ST,POLK CITY,IA,50226,POINT (-93.71378 41.77213),01/01/2025
6313,DANNYS TOBACCO & LIQUOR / GUTTENBERG,A,531 U.S. 52,GUTTENBERG,IA,52052,POINT (-91.1005 42.78061),01/01/2025
5184,CASEY'S GENERAL STORE #3440 / CAMANC,A,"614, S  WASHINGTON BLVD",CAMANCHE,IA,52730,POINT (-90.25585 41.78798),01/01/2025
5061,CASEY'S GENERAL STORE #3382 / CEDAR,A,"560, 33RD AVE SW",CEDAR RAPIDS,IA,52404,POINT (-91.67563 41.94353),01/01/2025
6129,EAST END LIQUOR / DES MOINES,A,3804 HUBBELL AVE,DES MOINES,IA,50317,POINT (-93.54133 41.63086),01/01/2025
5537,PRONTO MARKET / SUMNER,A,117 W 1ST ST,SUMNER,IA,50674,POINT (-92.09879 42.84746),01/01/2025
4782,CASEY'S GENERAL STORE #2529 / LAMONI,A,406 E MAIN ST,LAMONI,IA,50140,POINT (-93.92928 40.62367),01/01/2025
5350,CASEY'S GENERAL STORE # 3562/ MARION,A,680 LINDALE DR.,MARION,IA,52302,POINT (-91.62144 42.0337),01/01/2025
5763,CASEY'S GENERAL STORE #1374 / COLFAX,A,501 W STATE ST,COLFAX,IA,50054,POINT (-93.25195 41.67359),01/01/2025
4899,GRAETTINGER MARKET,A,"124, W ROBINS ST",GRAETTINGER,IA,51342,POINT (-94.75173 43.23778),01/01/2025
2671,HY-VEE  /  JEFFERSON,A,"106, W WASHINGTON ST",JEFFERSON,IA,50129,POINT (-94.37572 42.01723),01/01/2025
6294,BATAVIA BP / BATAVIA,A,100 1ST STREET,BATAVIA,IA,52533,POINT (-92.16455 41.00097),01/01/2025
4326,STRATFORD FOOD CENTER,A,829 SHAKESPEARE AVE,STRATFORD,IA,50249,POINT (-93.92712 42.2713),01/01/2025
5003,FAMOUS LIQUORS,A,2604 W LOCUST ST,DAVENPORT,IA,52804,POINT (-90.61555 41.53873),01/01/2025
010403,WILLIAMS TRAVEL CENTER / WILLIAMS,A,3065 220TH STREET,WILLIAMS,IA,50271,POINT (-93.56519 42.47216),01/01/2025
4825,CASEY'S GENERAL STORE #3212 / OSCEOLA,A,100 W MCLANE ST,OSCEOLA,IA,50213,POINT (-93.76603 41.03064),01/01/2025
010157,SA TOBACCO LIQUOR MART / CLINTON,A,320 N 4TH ST,CLINTON,IA,52732,POINT (-90.19323 41.84832),01/01/2025
5471,WORLD LIQUOR & TOBACCO + VAPORS,A,1030 8TH ST,BOONE,IA,50036,POINT (-93.87691 42.06382),01/01/2025
4585,CASEY'S GENERAL STORE #2561 / FARLEY,A,"306, 1ST ST SW",FARLEY,IA,52046,POINT (-91.00616 42.43977),01/01/2025
4551,CASEY'S GENERAL STORE #2845 / URBANA,A,201 SUNSET ST,URBANA,IA,52345,POINT (-91.87008 42.22762),01/01/2025
5966,CASEY'S GENERAL STORE #22 / CHARITON,I,1421 COURT AVE,CHARITON,IA,50049,POINT (-93.31561 41.01447),01/01/2025
5977,CASEY'S GENERAL STORE #2305 / BELMOND,A,303 RIVER AVE S,BELMOND,IA,50421,POINT (-93.6168 42.84388),01/01/2025
3678,"SMOKE SHOP, THE",A,1918 SE 14TH ST,DES MOINES,IA,50320,POINT (-93.5972 41.57103),01/01/2025
6012,CASEY'S GENERAL STORE #1893 / MASON CITY,A,1607 S FEDERAL AVE,MASON CITY,IA,50401,POINT (-93.2011 43.13592),01/01/2025
010120,BP / WELTON,A,2576 190TH STREET,WELTON,IA,52774,POINT (-90.59196 41.9019),01/01/2025
6007,CASEY'S GENERAL STORE #1910 / JOHNSTON,A,6110 MERLE HAY RD,JOHNSTON,IA,50131,POINT (-93.69818 41.6716),01/01/2025
5778,CASEY'S GENERAL STORE #2474 / HUXLEY,A,104 N HWY 69,HUXLEY,IA,50124,POINT (-93.60053 41.89277),01/01/2025
5800,BREW GAS COFFEE WINE SPIRITS,A,2026 RIVERSIDE BLVD,SIOUX CITY,IA,51109,POINT (-96.47453 42.51491),01/01/2025
4981,SINCLAIR FOOD MART,A,206 N MAIN ST,TRAER,IA,50675,POINT (-92.46547 42.19648),01/01/2025
5699,FLASHMART #102 /PERRY,I,1115 IA HWY 141,PERRY,IA,50220,POINT (-94.1057 41.82995),01/01/2025
5242,KUM & GO #3502 / IOWA CITY,A,2303 MUSCATINE AVE,IOWA CITY,IA,52240,POINT (-91.50168 41.64955),01/01/2025
